Hyperparams,Best_Val_Loss,Efficiency,Fake_Rate
lr0.001_bs32_hd32_k48_temp0.1_cd8,7.944847193536055e-07,0.7412935323383084,0.06074766355140187
lr0.001_bs32_hd32_k48_temp0.1_cd128,1.676846156827973e-06,0.835820895522388,0.08411214953271028
lr0.001_bs32_hd32_k24_temp0.1_cd8,1.6170569660502925e-06,0.8407960199004975,0.056074766355140186
lr0.001_bs32_hd32_k24_temp0.1_cd128,1.3076573528736563e-06,0.8109452736318408,0.056074766355140186
lr0.001_bs32_hd32_k64_temp0.1_cd8,1.0686277550765432e-06,0.7412935323383084,0.06074766355140187
lr0.001_bs32_hd64_k48_temp0.1_cd128,5.332666084665425e-07,0.8109452736318408,0.06074766355140187
lr0.001_bs32_hd64_k24_temp0.1_cd8,4.676314695584382e-07,0.7960199004975125,0.06074766355140187
lr0.001_bs32_hd32_k64_temp0.1_cd128,5.836201427089001e-07,0.7761194029850746,0.056074766355140186
lr0.001_bs32_hd64_k24_temp0.1_cd128,7.114833263523876e-07,0.7761194029850746,0.07009345794392523
lr0.001_bs32_hd64_k64_temp0.1_cd8,2.1042590041535345e-07,0.7960199004975125,0.06542056074766354
lr0.001_bs32_hd64_k48_temp0.1_cd8,4.532511168618458e-07,0.7860696517412935,0.0514018691588785
lr0.001_bs32_hd128_k24_temp0.1_cd8,3.2054438999376555e-07,0.8159203980099502,0.0514018691588785
lr0.001_bs32_hd128_k24_temp0.1_cd128,1.839481758688245e-07,0.7860696517412935,0.056074766355140186
lr0.001_bs32_hd64_k64_temp0.1_cd128,2.02443993108312e-07,0.8706467661691543,0.06074766355140187
lr0.001_bs32_hd128_k48_temp0.1_cd8,1.7030681735585086e-07,0.7761194029850746,0.0514018691588785
lr0.001_bs32_hd128_k64_temp0.1_cd8,2.3389419175521428e-07,0.8159203980099502,0.06074766355140187
lr0.001_bs64_hd32_k24_temp0.1_cd8,1.736242360847801e-06,0.8706467661691543,0.06542056074766354
lr0.001_bs64_hd32_k24_temp0.1_cd128,1.0839090816901096e-06,0.7711442786069652,0.06542056074766354
lr0.001_bs64_hd32_k48_temp0.1_cd8,1.1358969006964108e-06,0.7761194029850746,0.06074766355140187
lr0.001_bs32_hd128_k48_temp0.1_cd128,1.5356294089105955e-07,0.8109452736318408,0.04672897196261682
lr0.001_bs64_hd32_k48_temp0.1_cd128,8.740797363864829e-07,0.8009950248756219,0.07009345794392523
lr0.001_bs64_hd64_k24_temp0.1_cd8,6.570038660945384e-07,0.7711442786069652,0.06542056074766354
lr0.001_bs64_hd64_k24_temp0.1_cd128,9.364141221976725e-07,0.7611940298507462,0.06074766355140187
lr0.001_bs64_hd32_k64_temp0.1_cd8,8.443405864703745e-07,0.8208955223880597,0.056074766355140186
lr0.001_bs64_hd32_k64_temp0.1_cd128,7.583124589190329e-07,0.7910447761194029,0.056074766355140186
lr0.001_bs64_hd64_k48_temp0.1_cd128,8.471061328084082e-07,0.7860696517412935,0.0514018691588785
lr0.001_bs64_hd64_k48_temp0.1_cd8,4.91293112549717e-07,0.7910447761194029,0.056074766355140186
lr0.001_bs64_hd128_k24_temp0.1_cd8,3.6168850619067737e-07,0.8208955223880597,0.0514018691588785
lr0.001_bs64_hd128_k24_temp0.1_cd128,2.40888042487911e-07,0.8009950248756219,0.056074766355140186
lr0.001_bs64_hd64_k64_temp0.1_cd8,4.044533884823492e-07,0.8159203980099502,0.06074766355140187
lr0.001_bs64_hd128_k48_temp0.1_cd8,1.4515845387410876e-07,0.8407960199004975,0.04205607476635514
lr0.001_bs64_hd64_k64_temp0.1_cd128,3.2554596924940487e-07,0.8109452736318408,0.07009345794392523
lr0.001_bs64_hd128_k48_temp0.1_cd128,2.0241696649382035e-07,0.7910447761194029,0.04205607476635514
lr0.001_bs64_hd128_k64_temp0.1_cd128,1.922383372189622e-07,0.8208955223880597,0.07009345794392523
lr0.005_bs32_hd32_k24_temp0.1_cd8,2.2557199447724256e-06,0.8855721393034826,0.07476635514018691
lr0.001_bs64_hd128_k64_temp0.1_cd8,1.0343072668409402e-07,0.7960199004975125,0.056074766355140186
lr0.005_bs32_hd32_k48_temp0.1_cd8,9.573228560830395e-07,0.7860696517412935,0.06542056074766354
lr0.005_bs32_hd32_k48_temp0.1_cd128,6.821751571217106e-07,0.8258706467661692,0.056074766355140186
lr0.005_bs32_hd32_k64_temp0.1_cd8,1.1431016568881282e-06,0.8059701492537313,0.06074766355140187
lr0.005_bs32_hd32_k64_temp0.1_cd128,5.129884461830679e-07,0.845771144278607,0.06542056074766354
lr0.005_bs32_hd32_k24_temp0.1_cd128,9.516221896343569e-07,0.7761194029850746,0.07009345794392523
lr0.005_bs32_hd64_k24_temp0.1_cd8,1.3022671738193795e-06,0.8308457711442786,0.056074766355140186
lr0.005_bs32_hd64_k24_temp0.1_cd128,1.113209587722438e-06,0.7810945273631841,0.06074766355140187
lr0.005_bs32_hd64_k48_temp0.1_cd128,5.476702356710528e-07,0.8308457711442786,0.06542056074766354
lr0.005_bs32_hd128_k24_temp0.1_cd8,1.4471911733393379e-06,0.9203980099502488,0.06542056074766354
lr0.005_bs32_hd64_k48_temp0.1_cd8,4.601570233176382e-07,0.8407960199004975,0.0514018691588785
lr0.005_bs32_hd128_k24_temp0.1_cd128,5.940135971630061e-07,0.835820895522388,0.037383177570093455
lr0.005_bs32_hd128_k48_temp0.1_cd8,2.112879253366083e-07,0.835820895522388,0.056074766355140186
lr0.005_bs32_hd64_k64_temp0.1_cd128,4.346255361757625e-07,0.8606965174129353,0.06542056074766354
lr0.005_bs32_hd128_k48_temp0.1_cd128,3.957333221494219e-07,0.7810945273631841,0.07009345794392523
lr0.005_bs64_hd32_k24_temp0.1_cd8,8.628803128662754e-07,0.8159203980099502,0.06074766355140187
lr0.005_bs32_hd128_k64_temp0.1_cd8,2.1263252331986843e-07,0.8109452736318408,0.06074766355140187
lr0.005_bs64_hd32_k48_temp0.1_cd8,1.0717949092139382e-06,0.8109452736318408,0.056074766355140186
lr0.005_bs64_hd32_k24_temp0.1_cd128,2.1167679575554973e-06,0.9154228855721394,0.07009345794392523
lr0.005_bs32_hd128_k64_temp0.1_cd128,3.5822254666104925e-07,0.7860696517412935,0.07009345794392523
lr0.005_bs64_hd32_k48_temp0.1_cd128,6.308193608830223e-07,0.7562189054726368,0.06074766355140187
lr0.005_bs64_hd32_k64_temp0.1_cd128,7.097343114725343e-07,0.8159203980099502,0.056074766355140186
lr0.005_bs64_hd64_k24_temp0.1_cd128,1.268656069105369e-06,0.8805970149253731,0.07009345794392523
lr0.005_bs64_hd64_k24_temp0.1_cd8,1.8040639808753529e-06,0.845771144278607,0.0794392523364486
lr0.005_bs64_hd32_k64_temp0.1_cd8,5.096671902652805e-07,0.7810945273631841,0.056074766355140186
lr0.005_bs64_hd64_k48_temp0.1_cd8,1.046534229265034e-06,0.7810945273631841,0.07009345794392523
lr0.005_bs64_hd64_k48_temp0.1_cd128,4.562014466403497e-07,0.8557213930348259,0.07009345794392523
lr0.005_bs64_hd64_k64_temp0.1_cd128,3.4969353641882843e-07,0.8507462686567164,0.06074766355140187
lr0.005_bs64_hd128_k24_temp0.1_cd128,4.803976754008344e-07,0.8159203980099502,0.056074766355140186
